"sample_id","condition","fssi_frozen_weighted","fssi_frozen_equal_weight","pathological_component","repair_component_reversed","Fib5_three_marker_baseline","collagen_ECM_raw","threshold","annotation_sensitivity","fibroblast_cell_n","dataset_id"
"HK-NS2","perilesional_skin",-1.30202004697929,-1.46238121633434,-0.132027439642225,-3.12532343719949,-0.99342660887883,2.97736373893069,0.5,"reference_transfer",996,"GSE191067"
"HK-NS3","perilesional_skin",-1.75386902032784,-1.91093348570398,-0.801538790229735,-3.29767685504679,-1.19173884377827,2.62517795450431,0.5,"reference_transfer",1092,"GSE191067"
"HK1","keloid",0.507638469323617,0.539266363606649,1.10657110118028,-0.16986455836039,0.534874641610592,3.71847179183065,0.5,"marker_purity_subset",1904,"GSE191067"
"HK2","keloid",0.265859275521142,0.168366032612828,1.01569025956267,-0.890789251074473,0.695138978416244,4.14688951130225,0.5,"marker_purity_subset",525,"GSE191067"
"HK3","keloid",-0.0103683192969079,-0.0405928509273213,0.0692311552474525,-0.177872858645788,-0.402684034742712,3.36560837297695,0.5,"marker_purity_subset",178,"GSE191067"
"HNSR1","normal_scar",0.478226016282183,0.490862153832324,1.05167130681055,-0.210149287390462,0.795891492716366,4.04466205983757,0.5,"marker_purity_subset",1412,"GSE191067"
"HNSR2","normal_scar",0.452056177128764,0.506049552957101,1.26732704229842,-0.445547308719549,0.540681295455948,4.15894091792573,0.5,"marker_purity_subset",1879,"GSE191067"
"HNSR3","normal_scar",-0.60024348431878,-0.541115119892108,0.407913130277314,-1.72740043260389,-0.417472690869915,3.43221159266571,0.5,"marker_purity_subset",1154,"GSE191067"
"HNS1","normal_skin",-1.33370630209627,-1.42115886425814,-0.120175616780203,-3.04738792360555,-0.987383566869893,3.12405567880002,0.5,"marker_purity_subset",1426,"GSE191067"
"HNS2","normal_skin",-1.2301299604042,-1.19546408499736,-0.929431825546912,-1.52800440931042,-0.428585305490049,1.75317720419964,0.5,"marker_purity_subset",1711,"GSE191067"
"HNS3","normal_skin",-1.55503573949244,-1.49917106289204,-0.752675379958627,-2.43229066655881,-1.20924146143457,2.09412311461858,0.5,"marker_purity_subset",179,"GSE191067"
"HK-NS1","perilesional_skin",-0.840574716390219,-0.85139099144079,0.179669983771997,-2.14021721045677,-0.421848660064888,3.52491435242113,0.5,"marker_purity_subset",3003,"GSE191067"
"HK-NS2","perilesional_skin",-1.30878372005027,-1.4770425954913,-0.255959865566262,-3.00339600789761,-1.02817238110366,2.91709330649067,0.5,"marker_purity_subset",458,"GSE191067"
"HK-NS3","perilesional_skin",-1.75023372776471,-1.89589414660306,-0.821139644075902,-3.23933727476202,-1.16900189963273,2.48537318375779,0.5,"marker_purity_subset",172,"GSE191067"
"HK1","keloid",0.462394818342294,0.489030944079618,1.05857722307475,-0.222901904664299,0.52052131427691,3.68762864358057,0.6,"reference_transfer",2141,"GSE191067"
"HK2","keloid",0.321808112581871,0.226532707523372,1.12206656172806,-0.892884610232493,0.754869822996629,4.18199752190453,0.6,"reference_transfer",1064,"GSE191067"
"HK3","keloid",0.0650831314804891,0.0163690408250199,0.248983085922816,-0.274398515547225,-0.278855605269645,3.51227107818878,0.6,"reference_transfer",239,"GSE191067"
"HNSR1","normal_scar",0.405826297191575,0.416243199018639,0.994251312954242,-0.306266943400864,0.732324260111923,4.01145021831669,0.6,"reference_transfer",1797,"GSE191067"
"HNSR2","normal_scar",0.395178851035985,0.449449124197755,1.24427701977125,-0.544085745269119,0.489060313438443,4.13235970266737,0.6,"reference_transfer",2147,"GSE191067"
"HNSR3","normal_scar",-0.659161699907488,-0.605908114171134,0.371946961492627,-1.82822695875084,-0.459299094944164,3.40686191858682,0.6,"reference_transfer",1586,"GSE191067"
"HNS1","normal_skin",-1.33871409126513,-1.41713828606048,-0.0866504154048684,-3.08024812437999,-0.989723208537253,3.1621501955901,0.6,"reference_transfer",2623,"GSE191067"
"HNS2","normal_skin",-1.24342668190402,-1.20674674870156,-0.910915548761641,-1.57653574862645,-0.467024670362696,1.74069359038157,0.6,"reference_transfer",2867,"GSE191067"
"HNS3","normal_skin",-1.53426958489708,-1.50490417125391,-0.735316881185777,-2.46688828383908,-1.18568682459257,2.23925261236548,0.6,"reference_transfer",1581,"GSE191067"
"HK-NS1","perilesional_skin",-0.889430277273017,-0.906518313292729,0.178569254078507,-2.26287777250677,-0.449292150301433,3.51026656929612,0.6,"reference_transfer",3969,"GSE191067"
"HK-NS2","perilesional_skin",-1.30715594085042,-1.46811274849964,-0.132176973548643,-3.13803246718839,-0.995496400351368,2.97535084220538,0.6,"reference_transfer",993,"GSE191067"
"HK-NS3","perilesional_skin",-1.76043356114101,-1.91911165200427,-0.791905615917702,-3.32811919711247,-1.19036961737772,2.63510528886692,0.6,"reference_transfer",1082,"GSE191067"
"HK1","keloid",0.509111595006117,0.540608548771068,1.1114270988027,-0.172914638768474,0.538311608011422,3.72117527356672,0.6,"marker_purity_subset",1899,"GSE191067"
"HK2","keloid",0.265915168845209,0.16703458840677,1.02271634512788,-0.902567607494617,0.696346896146438,4.14798982058116,0.6,"marker_purity_subset",521,"GSE191067"
"HK3","keloid",0.00365142344312389,-0.0295294333343328,0.112237108800957,-0.206737611003444,-0.379301566567892,3.41382481278,0.6,"marker_purity_subset",174,"GSE191067"
"HNSR1","normal_scar",0.480408616657805,0.493331257681449,1.05784317137706,-0.212308634438063,0.79862864926664,4.04523974237248,0.6,"marker_purity_subset",1405,"GSE191067"
"HNSR2","normal_scar",0.456454128707554,0.511500563860555,1.2816076202929,-0.451133256679875,0.547511897779287,4.16707963981434,0.6,"marker_purity_subset",1861,"GSE191067"
"HNSR3","normal_scar",-0.600879819428884,-0.543339220797253,0.41782092372148,-1.74478940144567,-0.411402724659256,3.44216856167958,0.6,"marker_purity_subset",1142,"GSE191067"
"HNS1","normal_skin",-1.33491270344128,-1.42221813778727,-0.116166786428027,-3.05478232698633,-0.986184718829042,3.13074741545618,0.6,"marker_purity_subset",1420,"GSE191067"
"HNS2","normal_skin",-1.23128051324841,-1.1965462871262,-0.927248380201486,-1.5331686707821,-0.427055282237005,1.75486607668959,0.6,"marker_purity_subset",1704,"GSE191067"
"HNS3","normal_skin",-1.55503573949244,-1.49917106289204,-0.752675379958627,-2.43229066655881,-1.20924146143457,2.09412311461858,0.6,"marker_purity_subset",179,"GSE191067"
"HK-NS1","perilesional_skin",-0.840146881024571,-0.850659081271412,0.181282040092894,-2.14058548297679,-0.420456351499996,3.52640770949758,0.6,"marker_purity_subset",2995,"GSE191067"
"HK-NS2","perilesional_skin",-1.31307349877949,-1.48176598734114,-0.257544286123333,-3.0120431138634,-1.03249899037134,2.91242225404681,0.6,"marker_purity_subset",457,"GSE191067"
"HK-NS3","perilesional_skin",-1.75618133458268,-1.90330266079292,-0.814692641357543,-3.26406518508714,-1.1675351189268,2.49329603627235,0.6,"marker_purity_subset",171,"GSE191067"
