accession,celltype,scarvcell_overlap,accession_auditable,n_contexts,n_cells,FSSI,equal_weight_FSSI,pathological_component,repair_component
GSE173706,F6: Inflammatory myofibroblast,False,True,3.0,18.0,-0.34463952141745247,-0.720150743065874,-0.5442604510443712,0.06316546829535702
GSE173706,F6: Myofibroblast,False,True,3.0,85.0,-0.2508365177907341,-0.5415032330064624,0.014453749447125998,0.6249071471222543
GSE173706,F7: Fascia-like myofibroblast,False,True,2.0,38.0,0.13808277133604838,0.06845525812438243,0.1605440330681734,-0.10641143111238859
GSE175817,F1: Superficial,False,True,1.0,419.0,-0.5758232417426077,-0.7729210952398762,-1.2996641094659653,-0.4448233569597052
GSE175817,F2/3: Stroma_PPARG+,False,True,1.0,71.0,-0.8826527281166225,-1.051859609823107,-1.3023696390257506,0.2908339228526941
GSE175817,F2: Universal,False,True,1.0,28.0,-1.102385858712681,-1.1378587172426677,-1.2914036658626078,0.835862662020956
GSE175817,F3: FRC-like,False,True,1.0,428.0,-0.7738928589208305,-1.0596351305043723,-1.2598390904378929,0.08868787745845061
GSE175817,F4: DP_HHIP+,False,True,1.0,9.0,-0.238634147270183,-0.323979110581091,-1.6574738632587889,-1.7619905684663493
GSE175817,F4: DS_DPEP1+,False,True,1.0,169.0,-0.5172552892071323,-0.7976407585961666,-0.8027642201465083,0.114675478842269
GSE175817,F4: TNN+COCH+,False,True,1.0,37.0,-0.618142238500037,-0.8781246932466729,-0.8862696154241387,0.2400711631029136
GSE175817,F5: NGFR+,False,True,1.0,16.0,-0.6026193952770851,-0.5234323224045518,-1.3542124647631963,-0.4571589955064677
GSE175817,F5: RAMP1+,False,True,1.0,19.0,-1.0537827659552166,-1.1559746969545088,-1.6311086461941982,0.23972856939949472
GSE175817,F6: Inflammatory myofibroblast,False,True,1.0,693.0,0.17174179540010043,0.10102389314280734,-0.40439182949733565,-0.9841148609042435
GSE175817,F6: Myofibroblast,False,True,1.0,133.0,0.2037366367542056,0.08395200415294017,-0.22116314592728592,-0.802863513007013
GSE175817,F7: Fascia-like myofibroblast,False,True,1.0,29.0,0.4805675699492019,0.42760722247190563,-0.14680040704833577,-1.3651832643783413
GSE175990,F1: Superficial,False,True,1.0,59.0,-0.7099449523122373,-1.0305968561184762,-1.0312613372038137,0.2568750995718303
GSE175990,F2/3: Stroma_PPARG+,False,True,2.0,453.0,-1.783827327225019,-2.335499958092932,-1.2979492428834034,2.468936218253811
